"110年05月 3532 台勝科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/05/03","4,058,463","762,279,163","192.50","196.00","180.50","183.00","-9.00","3,350",
"110/05/04","5,254,779","951,173,863","188.00","190.00","165.50","179.50","-3.50","3,991",
"110/05/05","2,466,307","435,721,532","175.00","183.50","171.00","171.00","-8.50","2,011",
"110/05/06","2,248,585","380,827,652","173.00","176.50","164.50","167.00","-4.00","2,133",
"110/05/07","3,084,163","520,164,994","168.00","173.00","163.00","171.00","+4.00","2,084",
"110/05/10","3,604,539","573,638,725","169.50","169.50","155.00","155.50","-15.50","2,974",
"110/05/11","3,059,066","449,384,474","151.00","153.00","143.50","145.50","-10.00","2,319",
"110/05/12","4,138,060","600,842,103","149.50","154.00","131.50","146.00","+0.50","3,477",
"110/05/13","3,541,798","514,879,224","144.50","151.00","138.50","144.00","-2.00","2,741",
"110/05/14","3,715,561","553,841,181","148.00","152.00","144.00","149.00","+5.00","1,488",
"110/05/17","5,661,556","860,997,989","138.50","160.00","138.50","147.00","-2.00","4,306",
"110/05/18","4,676,989","718,278,918","151.50","158.50","145.50","158.50","+11.50","3,216",
"110/05/19","4,186,441","668,710,768","152.00","166.00","152.00","158.50"," 0.00","3,161",
"110/05/20","1,731,899","273,331,848","156.00","162.00","153.00","157.00","-1.50","1,105",
"110/05/21","1,173,382","184,609,604","159.00","161.00","153.50","157.00"," 0.00","1,012",
"110/05/24","1,037,552","160,976,453","154.50","157.00","152.50","156.00","-1.00","858",
"110/05/25","5,284,181","898,608,801","158.50","171.50","157.00","171.50","+15.50","2,113",
"110/05/26","6,212,560","1,071,434,063","177.50","182.50","163.00","166.00","-5.50","4,511",
"110/05/27","2,330,766","385,025,683","165.00","168.50","161.00","168.00","+2.00","1,751",
"110/05/28","1,887,938","319,052,216","170.50","171.50","167.00","167.50","-0.50","1,526",
"110/05/31","1,894,055","316,109,323","168.50","169.50","164.50","168.50","+1.00","1,504",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

