"111年02月 3711 日月光投控       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/02/07","22,852,579","2,292,532,135","100.50","102.50","99.10","100.00","+1.20","9,912",
"111/02/08","18,352,921","1,834,271,508","99.60","101.00","99.30","100.00"," 0.00","6,945",
"111/02/09","17,134,646","1,739,162,820","101.00","102.50","100.00","102.00","+2.00","7,197",
"111/02/10","18,157,309","1,877,667,514","103.50","104.50","102.50","103.50","+1.50","6,814",
"111/02/11","33,631,329","3,497,201,197","104.50","106.00","102.00","103.00","-0.50","12,940",
"111/02/14","16,199,323","1,622,181,926","101.00","101.00","99.80","100.00","-3.00","8,437",
"111/02/15","8,819,311","884,679,878","100.50","101.00","99.80","100.00"," 0.00","4,422",
"111/02/16","15,851,176","1,627,569,081","102.50","103.50","102.00","102.50","+2.50","6,391",
"111/02/17","14,310,087","1,486,336,914","103.00","105.00","103.00","104.00","+1.50","8,017",
"111/02/18","12,537,011","1,298,928,556","102.00","104.50","102.00","104.00"," 0.00","5,101",
"111/02/21","11,990,686","1,253,075,116","103.00","105.50","103.00","105.00","+1.00","5,516",
"111/02/22","15,371,604","1,581,700,515","103.50","105.00","102.00","103.00","-2.00","6,220",
"111/02/23","12,309,510","1,258,069,210","103.50","103.50","101.50","102.00","-1.00","5,602",
"111/02/24","25,869,789","2,586,719,854","100.00","101.50","99.10","99.70","-2.30","12,773",
"111/02/25","20,163,734","2,011,076,598","101.00","101.00","99.10","99.30","-0.40","8,747",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

