"102年01月 4133 亞諾法           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/01/02","703,174","37,149,634","53.50","53.50","52.00","52.50","-0.50","434",
"102/01/03","1,371,000","74,083,200","53.30","54.90","52.60","53.80","+1.30","1,031",
"102/01/04","722,016","38,647,456","53.70","54.30","53.00","53.00","-0.80","478",
"102/01/07","1,968,100","107,776,390","54.20","55.80","53.70","53.80","+0.80","1,377",
"102/01/08","697,000","37,668,500","53.80","54.60","53.50","54.20","+0.40","500",
"102/01/09","685,004","36,961,326","54.50","54.80","53.50","53.60","-0.60","462",
"102/01/10","909,150","48,072,839","53.70","54.40","51.70","52.20","-1.40","615",
"102/01/11","551,261","28,872,923","52.20","52.80","52.10","52.10","-0.10","395",
"102/01/14","636,000","33,513,400","52.10","53.40","52.10","52.30","+0.20","486",
"102/01/15","560,142","29,656,654","52.40","53.60","52.40","52.50","+0.20","431",
"102/01/16","683,065","34,737,912","52.70","52.90","50.00","50.30","-2.20","503",
"102/01/17","835,308","40,962,669","50.40","51.00","47.00","47.70","-2.60","594",
"102/01/18","677,000","32,965,900","48.20","49.40","48.00","49.20","+1.50","459",
"102/01/21","302,100","14,938,140","49.70","50.20","48.50","49.20"," 0.00","237",
"102/01/22","596,000","29,947,100","49.95","51.00","49.20","50.50","+1.30","422",
"102/01/23","346,000","17,306,250","50.70","51.10","49.30","49.95","-0.55","246",
"102/01/24","267,000","13,156,150","49.95","49.95","48.80","48.90","-1.05","206",
"102/01/25","283,057","13,934,754","48.80","49.90","48.80","49.20","+0.30","221",
"102/01/28","211,000","10,321,900","49.20","49.40","48.60","48.60","-0.60","158",
"102/01/29","242,050","11,895,040","48.65","49.55","48.65","49.00","+0.40","164",
"102/01/30","198,000","9,741,000","49.80","49.80","48.95","49.00"," 0.00","146",
"102/01/31","186,100","9,213,080","49.05","49.80","49.05","49.50","+0.50","153",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

