"110年08月 4148 全宇生技-KY      各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/08/02","12,000","402,750","33.60","33.80","33.15","33.80","+0.25","10",
"110/08/03","7,000","237,300","34.15","34.15","33.75","33.75","-0.05","7",
"110/08/04","27,000","904,950","33.75","33.75","33.50","33.70","-0.05","17",
"110/08/05","6,001","201,333","33.55","33.55","33.55","33.55","-0.15","7",
"110/08/06","3,200","108,020","33.65","33.80","33.65","33.75","+0.20","4",
"110/08/09","11,201","378,583","33.80","33.80","33.80","33.80","+0.05","10",
"110/08/10","15,000","507,000","33.80","33.80","33.80","33.80"," 0.00","14",
"110/08/11","115,000","3,819,150","33.80","33.80","32.95","33.45","-0.35","34",
"110/08/12","5,000","167,200","33.40","33.45","33.40","33.45"," 0.00","3",
"110/08/13","12,038","400,171","33.40","33.45","33.10","33.45"," 0.00","12",
"110/08/16","24,000","784,300","33.00","33.00","32.50","32.50","-0.95","22",
"110/08/17","14,000","454,300","32.50","32.60","32.10","32.55","+0.05","12",
"110/08/18","12,000","389,550","32.40","32.60","32.40","32.60","+0.05","10",
"110/08/19","26,000","838,400","32.60","32.90","32.00","32.90","+0.30","18",
"110/08/20","14,145","463,420","32.85","33.25","32.50","33.25","+0.35","16",
"110/08/23","10,000","329,600","32.55","33.30","32.55","33.30","+0.05","10",
"110/08/24","10,000","324,750","33.35","33.35","32.20","32.25","-1.05","9",
"110/08/25","11,020","358,456","32.50","32.70","32.25","32.70","+0.45","8",
"110/08/26","6,000","197,650","32.90","33.35","32.70","33.35","+0.65","6",
"110/08/27","1,000","33,350","33.35","33.35","33.35","33.35"," 0.00","1",
"110/08/30","16,940","572,982","33.80","34.30","33.70","34.30","+0.95","19",
"110/08/31","12,122","408,623","33.60","34.00","33.60","33.80","-0.50","13",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

