"110年03月 4906 正文             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/03/02","14,632,533","460,184,878","31.55","31.85","30.75","30.80","-0.20","6,075",
"110/03/03","5,737,081","176,819,036","30.90","31.20","30.30","30.90","+0.10","2,714",
"110/03/04","5,900,589","182,853,541","30.80","31.25","30.75","31.05","+0.15","2,504",
"110/03/05","6,610,417","206,095,907","30.85","31.45","30.65","31.20","+0.15","3,076",
"110/03/08","14,126,739","445,969,485","31.45","32.05","30.95","30.95","-0.25","6,124",
"110/03/09","6,525,515","200,350,095","30.80","31.15","30.30","31.15","+0.20","3,306",
"110/03/10","9,626,031","304,139,775","31.55","31.90","31.35","31.50","+0.35","4,118",
"110/03/11","16,129,091","516,151,993","31.70","32.40","31.60","32.00","+0.50","6,929",
"110/03/12","5,909,051","188,116,122","32.15","32.25","31.60","31.85","-0.15","2,661",
"110/03/15","4,524,375","143,050,567","32.00","32.00","31.40","31.55","-0.30","2,161",
"110/03/16","5,010,397","158,267,911","31.60","32.00","31.25","31.45","-0.10","2,203",
"110/03/17","5,672,137","180,736,402","31.60","32.20","31.45","31.75","+0.30","2,566",
"110/03/18","11,123,542","358,422,586","31.90","32.60","31.85","32.30","+0.55","4,925",
"110/03/19","12,453,644","407,524,352","32.20","33.20","32.10","33.10","+0.80","5,293",
"110/03/22","15,273,498","506,191,895","33.60","33.85","32.60","33.10"," 0.00","6,486",
"110/03/23","7,439,213","242,329,935","33.00","33.00","32.15","32.50","-0.60","3,285",
"110/03/24","4,249,286","139,403,715","32.50","33.10","32.40","32.90","+0.40","1,821",
"110/03/25","3,387,532","110,792,833","32.90","32.95","32.40","32.65","-0.25","1,660",
"110/03/26","13,907,933","454,377,517","32.35","33.10","32.25","32.55","-0.10","5,347",
"110/03/29","7,360,739","239,015,862","32.70","32.75","32.30","32.55"," 0.00","2,784",
"110/03/30","8,092,790","260,478,204","32.60","32.60","31.95","32.15","-0.40","3,285",
"110/03/31","6,613,933","211,698,098","31.95","32.40","31.70","32.15"," 0.00","2,528",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

