"10405る 4916 ㄆ猋           らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/05/04","561,000","18,850,500","33.00","34.00","32.50","33.85","+0.85","376",
"104/05/05","1,253,300","43,980,030","34.50","35.75","34.00","35.15","+1.30","777",
"104/05/06","949,009","33,565,086","35.15","36.00","34.85","35.55","+0.40","569",
"104/05/07","411,300","14,414,135","35.75","35.75","34.60","34.95","-0.60","263",
"104/05/08","401,000","13,977,350","35.30","35.40","34.30","34.30","-0.65","243",
"104/05/11","726,085","23,479,910","34.20","34.20","31.90","31.90","-2.40","453",
"104/05/12","398,300","12,289,294","31.80","31.80","30.00","31.70","-0.20","273",
"104/05/13","168,096","5,403,067","31.60","32.50","31.60","32.00","+0.30","134",
"104/05/14","278,400","8,673,357","31.10","31.70","30.75","31.05","-0.95","204",
"104/05/15","1,067,269","31,264,344","31.20","31.30","28.90","29.10","-1.95","644",
"104/05/18","348,431","9,880,112","29.10","29.10","27.90","28.50","-0.60","228",
"104/05/19","263,001","7,568,278","28.50","29.45","28.25","28.50"," 0.00","196",
"104/05/20","153,431","4,408,399","29.00","29.00","28.50","28.90","+0.40","119",
"104/05/21","174,001","5,044,828","28.90","29.35","28.65","28.65","-0.25","136",
"104/05/22","175,000","5,032,800","28.80","29.25","28.25","28.25","-0.40","129",
"104/05/25","211,400","6,043,380","28.30","29.00","28.30","28.95","+0.70","149",
"104/05/26","105,000","3,013,900","28.95","28.95","28.55","28.80","-0.15","84",
"104/05/27","179,090","5,089,083","28.80","28.90","28.15","28.55","-0.25","115",
"104/05/28","251,400","7,314,370","28.65","29.40","28.65","29.40","+0.85","164",
"104/05/29","168,212","4,916,690","29.30","29.40","29.05","29.05","-0.35","115",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

