"107年05月 4916 事欣科           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/05/02","1,730,189","61,923,482","35.75","36.30","35.30","35.65","+0.80","963",
"107/05/03","1,076,910","38,791,660","36.10","36.30","35.50","36.15","+0.50","662",
"107/05/04","597,700","21,590,310","36.40","36.50","35.65","36.05","-0.10","382",
"107/05/07","980,100","35,700,681","36.80","36.80","36.20","36.40","+0.35","514",
"107/05/08","870,200","31,907,648","36.50","36.95","36.40","36.55","+0.15","552",
"107/05/09","1,403,439","51,663,246","37.45","37.50","36.10","36.10","-0.45","863",
"107/05/10","603,748","21,833,178","36.50","36.60","35.85","36.05","-0.05","390",
"107/05/11","743,321","26,518,525","36.15","36.15","35.30","35.45","-0.60","395",
"107/05/14","1,928,404","71,247,221","35.25","37.80","35.25","37.20","+1.75","1,124",
"107/05/15","5,368,703","205,189,640","39.00","39.40","36.55","36.55","-0.65","2,857",
"107/05/16","923,300","33,564,039","36.40","36.90","36.00","36.00","-0.55","570",
"107/05/17","481,400","17,378,900","36.30","36.35","36.00","36.00"," 0.00","297",
"107/05/18","1,517,400","56,183,914","36.30","37.70","36.30","36.60","+0.60","913",
"107/05/21","583,100","21,354,640","36.60","37.05","36.30","36.60"," 0.00","355",
"107/05/22","466,639","17,072,305","36.95","36.95","36.40","36.40","-0.20","315",
"107/05/23","686,600","24,771,290","36.60","36.60","35.85","35.85","-0.55","434",
"107/05/24","332,501","11,958,334","36.35","36.35","35.85","35.90","+0.05","240",
"107/05/25","525,900","19,130,219","36.00","36.60","36.00","36.40","+0.50","333",
"107/05/28","677,101","24,822,169","36.80","37.10","36.45","36.50","+0.10","405",
"107/05/29","4,022,271","152,578,648","36.75","38.70","36.40","37.95","+1.45","2,394",
"107/05/30","1,872,509","70,406,284","38.00","38.00","37.00","37.90","-0.05","1,039",
"107/05/31","4,220,502","163,427,324","39.00","39.80","37.80","37.80","-0.10","2,349",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

