"10109る 4919 穝             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"101/09/03","2,829,825","115,482,511","40.75","41.25","40.20","40.45"," 0.00","1,624",
"101/09/04","3,974,130","165,726,630","41.00","42.50","40.80","41.20","+0.75","2,163",
"101/09/05","1,804,320","73,250,700","40.95","41.15","40.00","40.15","-1.05","1,067",
"101/09/06","2,188,820","86,326,232","40.40","40.40","38.60","38.85","-1.30","1,298",
"101/09/07","1,189,391","46,815,487","39.80","39.80","39.10","39.30","+0.45","688",
"101/09/10","2,596,350","99,105,257","38.60","38.95","37.75","38.10","-1.20","1,431",
"101/09/11","1,193,125","46,025,368","38.10","39.00","38.00","38.35","+0.25","719",
"101/09/12","1,126,164","43,671,855","38.90","39.15","38.55","38.65","+0.30","604",
"101/09/13","1,943,479","76,597,698","39.05","39.95","38.80","39.30","+0.65","1,145",
"101/09/14","1,431,100","55,975,380","39.90","39.95","38.70","38.75","-0.55","933",
"101/09/17","1,095,327","41,814,592","38.95","38.95","37.85","38.05","-0.70","695",
"101/09/18","665,965","25,536,852","38.05","38.70","38.00","38.50","+0.45","425",
"101/09/19","2,523,190","99,468,460","39.50","39.80","38.90","38.95","+0.45","1,336",
"101/09/20","963,100","37,066,300","38.95","39.20","38.20","38.35","-0.60","542",
"101/09/21","958,250","37,116,725","38.60","39.20","38.40","38.50","+0.15","439",
"101/09/24","1,876,486","70,433,520","38.50","38.50","36.90","37.70","-0.80","908",
"101/09/25","1,188,350","44,407,440","37.80","38.10","37.20","37.40","-0.30","614",
"101/09/26","628,760","23,467,647","37.00","37.60","37.00","37.30","-0.10","328",
"101/09/27","2,282,378","86,817,731","37.70","38.25","37.55","37.60","+0.30","947",
"101/09/28","603,104","22,523,395","37.50","37.90","37.10","37.20","-0.40","379",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

