"106年01月 4919 新唐             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/01/03","578,955","22,484,250","38.95","39.10","38.70","38.70"," 0.00","439",
"106/01/04","1,637,844","64,513,233","39.00","39.80","38.90","39.20","+0.50","1,055",
"106/01/05","776,000","30,550,350","39.50","39.65","39.20","39.35","+0.15","526",
"106/01/06","1,351,000","53,748,250","39.35","40.15","39.15","39.70","+0.35","730",
"106/01/09","1,139,316","45,334,524","39.90","40.40","39.20","39.20","-0.50","729",
"106/01/10","554,050","21,604,640","39.45","39.45","38.65","39.00","-0.20","396",
"106/01/11","557,000","21,796,850","39.30","39.50","38.75","39.20","+0.20","361",
"106/01/12","405,153","15,928,489","39.40","39.60","39.00","39.15","-0.05","279",
"106/01/13","479,000","18,611,650","39.25","39.30","38.70","38.70","-0.45","364",
"106/01/16","581,471","22,142,602","38.70","38.70","37.70","37.80","-0.90","396",
"106/01/17","2,512,722","98,632,537","38.00","39.70","38.00","39.55","+1.75","1,550",
"106/01/18","2,016,800","80,365,400","39.55","40.25","38.95","39.80","+0.25","1,226",
"106/01/19","1,029,059","41,054,991","39.80","40.20","39.35","39.95","+0.15","561",
"106/01/20","3,183,756","132,344,221","40.10","42.30","40.10","41.30","+1.35","1,952",
"106/01/23","2,801,219","117,686,086","42.00","43.15","41.10","41.30"," 0.00","1,831",
"106/01/24","1,237,295","51,437,287","41.15","42.10","41.00","41.40","+0.10","821",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

