"112年06月 5871 中租-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/06/01","3,114,827","637,603,937","204.00","205.50","203.50","204.50","+2.00","3,508",
"112/06/02","4,204,211","861,388,740","202.50","206.00","202.50","205.00","+0.50","3,468",
"112/06/05","3,034,772","631,565,238","206.50","210.00","206.50","206.50","+1.50","3,459",
"112/06/06","1,456,892","303,948,747","206.50","209.50","206.50","209.00","+2.50","1,996",
"112/06/07","3,500,624","743,896,398","210.00","213.50","209.50","213.00","+4.00","3,842",
"112/06/08","1,937,090","409,109,432","212.00","213.00","210.00","210.00","-3.00","2,491",
"112/06/09","1,898,051","400,351,859","212.00","212.00","208.50","211.50","+1.50","2,214",
"112/06/12","2,665,239","561,624,049","213.50","214.00","209.00","209.00","-2.50","3,049",
"112/06/13","8,372,093","1,719,150,822","207.50","210.50","204.00","204.00","-5.00","11,902",
"112/06/14","3,628,132","754,460,764","205.50","210.00","205.50","208.50","+4.50","3,697",
"112/06/15","4,175,688","857,709,736","207.50","208.00","204.50","205.50","-3.00","6,493",
"112/06/16","3,841,709","789,532,289","206.50","208.00","204.50","205.00","-0.50","3,440",
"112/06/19","2,306,397","475,389,278","204.00","208.00","203.00","207.00","+2.00","2,881",
"112/06/20","2,487,504","512,116,431","207.50","207.50","205.00","205.00","-2.00","2,775",
"112/06/21","5,210,175","1,050,169,334","201.00","203.00","200.00","201.50","-3.50","9,104",
"112/06/26","3,478,567","699,114,763","199.50","202.00","199.50","202.00","+0.50","5,500",
"112/06/27","2,666,395","536,492,879","201.00","203.00","200.00","201.00","-1.00","3,431",
"112/06/28","1,553,499","313,885,199","201.00","203.00","200.50","203.00","+2.00","2,062",
"112/06/29","3,345,181","684,808,824","205.00","207.00","203.00","204.00","+1.00","3,146",
"112/06/30","3,304,952","671,825,853","202.50","204.50","202.00","204.00"," 0.00","2,850",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

