"110年03月 5876 上海商銀         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/03/02","4,904,117","194,306,665","39.85","40.00","39.25","39.35","-0.55","2,230",
"110/03/03","8,117,627","324,916,156","39.80","40.30","39.50","40.05","+0.70","2,805",
"110/03/04","6,031,128","237,926,152","39.85","40.00","39.15","39.65","-0.40","2,220",
"110/03/05","5,531,453","218,483,558","39.15","39.90","39.05","39.40","-0.25","2,045",
"110/03/08","5,053,151","200,517,222","39.50","40.10","39.40","39.60","+0.20","1,930",
"110/03/09","9,284,653","373,805,432","39.95","40.50","39.80","40.45","+0.85","3,339",
"110/03/10","6,522,100","263,830,517","40.40","40.70","40.05","40.70","+0.25","1,973",
"110/03/11","7,595,007","311,648,827","40.85","41.35","40.50","40.65","-0.05","2,696",
"110/03/12","3,026,409","123,301,064","40.50","41.00","40.35","41.00","+0.35","1,216",
"110/03/15","4,878,360","201,327,756","40.70","41.50","40.65","41.25","+0.25","2,239",
"110/03/16","5,016,159","208,004,214","41.10","41.75","41.10","41.35","+0.10","1,995",
"110/03/17","4,814,161","198,298,527","41.15","41.50","40.80","41.05","-0.30","2,428",
"110/03/18","5,982,679","246,253,080","41.15","41.75","40.75","40.80","-0.25","2,486",
"110/03/19","9,742,319","392,600,545","40.40","40.70","40.05","40.40","-0.40","2,367",
"110/03/22","3,045,750","123,060,823","40.05","40.80","39.85","40.50","+0.10","1,581",
"110/03/23","4,477,891","181,235,091","40.35","40.75","40.30","40.40","-0.10","1,214",
"110/03/24","3,311,953","134,799,913","40.35","40.90","40.05","40.70","+0.30","1,061",
"110/03/25","3,651,423","149,601,949","40.45","41.15","40.45","41.15","+0.45","1,492",
"110/03/26","4,510,933","186,867,735","41.20","41.55","41.05","41.40","+0.25","1,579",
"110/03/29","4,457,183","183,866,591","41.05","41.40","41.00","41.40"," 0.00","1,858",
"110/03/30","5,272,474","219,088,254","41.40","41.80","41.15","41.80","+0.40","1,951",
"110/03/31","5,101,488","213,785,010","41.80","42.00","41.75","41.95","+0.15","1,778",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

