"108年07月 6116 彩晶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/07/01","12,068,606","80,387,493","6.69","6.71","6.61","6.65","+0.05","2,583",
"108/07/02","11,195,981","74,042,320","6.65","6.65","6.59","6.62","-0.03","2,029",
"108/07/03","6,546,505","43,430,955","6.69","6.69","6.60","6.65","+0.03","1,851",
"108/07/04","6,390,767","42,540,962","6.67","6.68","6.63","6.67","+0.02","1,538",
"108/07/05","24,508,226","166,251,946","6.67","6.83","6.67","6.80","+0.13","4,927",
"108/07/08","11,637,027","79,176,311","6.81","6.89","6.75","6.76","-0.04","2,531",
"108/07/09","5,083,141","34,176,563","6.77","6.79","6.71","6.72","-0.04","1,220",
"108/07/10","6,677,546","45,076,474","6.75","6.79","6.73","6.73","+0.01","1,567",
"108/07/11","19,059,277","130,491,727","6.76","6.94","6.74","6.90","+0.17","3,778",
"108/07/12","8,922,626","61,216,220","6.92","6.93","6.82","6.83","-0.07","1,974",
"108/07/15","5,332,867","36,224,760","6.86","6.86","6.76","6.79","-0.04","1,563",
"108/07/16","13,655,427","93,561,465","6.82","6.89","6.79","6.86","+0.07","2,886",
"108/07/17","39,016,933","275,008,835","6.89","7.11","6.87","7.06","+0.20","7,917",
"108/07/18","19,499,845","135,298,396","7.03","7.04","6.88","6.88","-0.18","4,217",
"108/07/19","7,577,958","52,318,536","6.93","6.95","6.88","6.89","+0.01","1,579",
"108/07/22","5,778,925","40,035,055","6.92","6.98","6.89","6.90","+0.01","1,501",
"108/07/23","7,550,545","52,176,960","6.92","6.95","6.89","6.92","+0.02","1,539",
"108/07/24","12,120,000","84,396,083","6.93","7.00","6.93","6.96","+0.04","2,479",
"108/07/25","9,769,615","67,744,441","6.98","6.99","6.91","6.91","-0.05","2,207",
"108/07/26","20,814,664","141,731,388","6.89","6.90","6.77","6.80","-0.11","3,640",
"108/07/29","27,786,566","192,053,679","6.82","6.96","6.81","6.95","+0.15","4,484",
"108/07/30","23,801,385","158,876,497","6.72","6.76","6.61","6.61","X0.00","4,218",
"108/07/31","11,829,056","78,251,844","6.62","6.68","6.56","6.64","+0.03","2,874",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

