"9912る 6120 笷笲             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/12/01","6,120,799","188,983,189","30.45","31.20","30.40","30.70","+0.45","2,242",
" 99/12/02","4,806,812","146,984,868","31.00","31.10","30.20","30.30","-0.40","1,761",
" 99/12/03","4,100,405","122,720,002","30.30","30.45","29.70","29.90","-0.40","1,701",
" 99/12/06","2,782,602","83,486,895","30.00","30.30","29.80","29.90"," 0.00","1,128",
" 99/12/07","6,553,195","196,833,148","30.00","30.55","29.75","29.95","+0.05","2,348",
" 99/12/08","3,273,276","98,678,511","30.05","30.40","29.90","29.90","-0.05","1,319",
" 99/12/09","3,926,468","117,489,907","30.00","30.20","29.70","29.80","-0.10","1,457",
" 99/12/10","5,313,681","159,564,359","29.80","30.30","29.50","30.20","+0.40","2,048",
" 99/12/13","26,969,777","864,502,505","30.85","32.30","30.85","32.30","+2.10","6,869",
" 99/12/14","19,929,863","637,123,326","32.70","32.85","31.30","31.35","-0.95","6,578",
" 99/12/15","7,849,500","241,821,462","31.35","31.50","30.35","30.80","-0.55","2,969",
" 99/12/16","6,901,505","215,892,579","30.80","31.80","30.80","31.70","+0.90","2,812",
" 99/12/17","6,824,157","214,075,009","32.00","32.20","30.90","30.90","-0.80","2,584",
" 99/12/20","2,881,648","89,162,130","31.10","31.30","30.70","30.70","-0.20","1,234",
" 99/12/21","3,958,194","122,429,825","30.80","31.25","30.70","30.75","+0.05","1,566",
" 99/12/22","6,587,565","205,679,665","31.00","31.60","30.75","31.10","+0.35","2,432",
" 99/12/23","10,478,945","332,179,645","31.25","32.10","31.10","31.40","+0.30","3,903",
" 99/12/24","4,443,464","138,896,276","31.60","31.75","30.85","30.90","-0.50","1,785",
" 99/12/27","5,186,608","158,353,723","31.25","31.25","30.40","30.40","-0.50","2,029",
" 99/12/28","2,763,806","84,412,845","30.60","30.80","30.35","30.35","-0.05","1,098",
" 99/12/29","4,687,605","140,424,718","30.60","30.60","29.65","29.65","-0.70","1,698",
" 99/12/30","5,879,255","174,080,338","29.75","30.30","29.20","29.45","-0.20","1,937",
" 99/12/31","3,657,805","107,984,919","29.50","29.85","29.20","29.55","+0.10","1,384",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

