"108年08月 6120 達運             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/08/01","794,535","14,236,071","18.00","18.10","17.80","17.85","-0.25","415",
"108/08/02","1,830,501","31,772,515","17.75","17.80","17.15","17.30","-0.55","933",
"108/08/05","1,763,735","29,544,449","17.25","17.25","16.50","16.55","-0.75","819",
"108/08/06","1,369,201","21,806,845","15.95","16.30","15.50","16.20","-0.35","682",
"108/08/07","728,620","11,902,505","16.30","16.50","16.10","16.25","+0.05","367",
"108/08/08","673,116","11,002,750","16.25","16.50","16.15","16.45","+0.20","353",
"108/08/12","695,986","11,348,719","16.20","16.45","16.15","16.45"," 0.00","327",
"108/08/13","1,600,064","26,934,338","16.45","17.20","16.25","17.05","+0.60","896",
"108/08/14","1,004,886","17,344,662","17.20","17.45","17.05","17.05"," 0.00","441",
"108/08/15","637,000","10,823,650","16.70","17.15","16.65","17.00","-0.05","315",
"108/08/16","673,229","11,600,987","17.00","17.35","17.00","17.30","+0.30","332",
"108/08/19","549,461","9,502,200","17.30","17.50","17.15","17.25","-0.05","293",
"108/08/20","609,908","10,601,006","17.45","17.50","17.30","17.35","+0.10","278",
"108/08/21","599,848","10,466,519","17.45","17.60","17.35","17.35"," 0.00","397",
"108/08/22","634,377","11,065,988","17.50","17.65","17.35","17.40","+0.05","361",
"108/08/23","446,714","7,745,001","17.55","17.55","17.25","17.35","-0.05","222",
"108/08/26","362,884","6,164,628","16.90","17.10","16.90","17.00","-0.35","215",
"108/08/27","510,100","8,744,294","17.10","17.40","17.00","17.00"," 0.00","264",
"108/08/28","442,012","7,580,208","17.05","17.25","17.05","17.10","+0.10","231",
"108/08/29","747,449","12,893,937","17.15","17.40","17.10","17.40","+0.30","340",
"108/08/30","3,338,542","60,155,431","17.60","18.15","17.55","18.10","+0.70","1,458",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

