"109年05月 6282 康舒             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"109/05/04","1,726,427","35,447,120","20.50","20.70","20.40","20.50","-0.40","760",
"109/05/05","1,895,043","38,903,293","20.60","20.70","20.35","20.50"," 0.00","750",
"109/05/06","1,718,307","35,216,969","20.50","20.65","20.35","20.50"," 0.00","650",
"109/05/07","2,085,578","43,484,002","20.65","21.20","20.50","21.20","+0.70","853",
"109/05/08","7,255,874","149,335,104","21.05","21.05","20.40","20.40","-0.80","3,391",
"109/05/11","2,103,300","42,962,562","20.55","20.60","20.35","20.40"," 0.00","997",
"109/05/12","1,914,568","39,260,490","20.45","20.65","20.40","20.50","+0.10","792",
"109/05/13","1,149,024","23,549,644","20.50","20.65","20.35","20.55","+0.05","492",
"109/05/14","2,008,997","40,648,988","20.40","20.55","20.00","20.00","-0.55","951",
"109/05/15","1,872,171","37,570,869","20.30","20.35","19.85","19.95","-0.05","685",
"109/05/18","1,656,639","32,793,849","19.95","20.00","19.65","19.70","-0.25","729",
"109/05/19","3,738,854","76,238,434","19.90","20.65","19.90","20.55","+0.85","1,526",
"109/05/20","1,901,258","39,098,126","20.70","20.70","20.45","20.50","-0.05","850",
"109/05/21","1,590,545","32,768,701","20.65","20.65","20.50","20.65","+0.15","591",
"109/05/22","1,924,361","39,298,363","20.65","20.65","20.25","20.25","-0.40","703",
"109/05/25","844,700","17,122,361","20.30","20.50","20.05","20.40","+0.15","393",
"109/05/26","1,228,001","25,215,520","20.55","20.65","20.40","20.40"," 0.00","491",
"109/05/27","1,296,200","26,499,128","20.55","20.55","20.35","20.40"," 0.00","490",
"109/05/28","2,210,600","45,434,669","20.50","20.70","20.40","20.40"," 0.00","827",
"109/05/29","1,274,777","26,126,687","20.45","20.65","20.40","20.40"," 0.00","478",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

