"107年11月 6415 矽力*-KY         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/11/01","363,232","149,754,816","400.00","420.00","400.00","415.00","+21.00","360",
"107/11/02","768,165","338,754,270","419.00","454.50","417.50","441.50","+26.50","689",
"107/11/05","531,100","233,795,850","430.00","445.00","430.00","436.00","-5.50","261",
"107/11/06","424,395","185,294,955","440.00","450.00","427.00","431.50","-4.50","280",
"107/11/07","151,770","66,593,363","432.00","451.50","427.00","446.50","+15.00","114",
"107/11/08","212,101","97,586,354","455.50","473.50","451.50","451.50","+5.00","202",
"107/11/09","298,050","129,595,700","440.00","446.50","426.00","439.50","-12.00","265",
"107/11/12","398,143","188,208,209","430.00","482.00","430.00","477.00","+37.50","389",
"107/11/13","587,101","283,155,187","452.00","500.00","452.00","489.50","+12.50","548",
"107/11/14","445,551","208,729,448","457.50","489.50","454.00","470.00","-19.50","405",
"107/11/15","555,510","243,921,540","450.00","450.00","425.00","425.00","-45.00","498",
"107/11/16","543,248","225,494,688","425.00","432.00","403.50","403.50","-21.50","530",
"107/11/19","510,076","208,651,926","407.50","412.50","404.50","407.50","+4.00","487",
"107/11/20","409,000","166,171,000","407.50","408.50","400.00","402.00","-5.50","379",
"107/11/21","458,075","184,235,150","392.00","412.50","392.00","405.50","+3.50","389",
"107/11/22","253,021","101,653,942","406.00","410.50","394.00","394.00","-11.50","223",
"107/11/23","212,511","83,160,268","394.00","396.50","388.50","390.50","-3.50","213",
"107/11/26","365,079","144,311,771","395.50","404.00","387.50","400.00","+9.50","216",
"107/11/27","522,080","211,302,140","405.00","413.00","398.00","404.00","+4.00","423",
"107/11/28","1,408,707","621,999,959","406.00","444.00","406.00","436.50","+32.50","654",
"107/11/29","2,281,619","1,025,509,836","441.00","463.00","441.00","443.50","+7.00","1,745",
"107/11/30","1,087,997","514,842,046","446.00","487.50","446.00","487.50","+44.00","902",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

