"108年06月 6505 台塑化           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"108/06/03","2,500,814","289,112,512","115.00","116.50","114.50","116.00"," 0.00","1,809",
"108/06/04","2,144,191","247,434,965","115.00","116.00","114.50","115.00","-1.00","1,332",
"108/06/05","2,156,558","250,626,728","116.00","116.50","115.50","116.50","+1.50","1,512",
"108/06/06","1,902,358","218,679,346","115.50","116.00","114.50","115.00","-1.50","1,002",
"108/06/10","1,392,829","160,777,664","115.00","116.00","114.50","116.00","+1.00","944",
"108/06/11","1,587,350","182,686,750","115.50","116.00","114.50","115.00","-1.00","1,006",
"108/06/12","2,315,500","264,317,245","114.50","115.00","113.50","114.50","-0.50","1,237",
"108/06/13","1,502,351","171,790,067","114.00","115.00","114.00","114.00","-0.50","893",
"108/06/14","2,530,046","290,033,762","114.50","115.50","114.00","115.00","+1.00","1,723",
"108/06/17","3,626,199","420,448,477","115.00","116.50","115.00","115.50","+0.50","2,229",
"108/06/18","2,899,781","336,555,476","115.50","116.50","115.50","116.50","+1.00","1,544",
"108/06/19","8,508,257","994,018,326","117.00","119.00","115.50","118.50","+2.00","3,928",
"108/06/20","7,754,709","867,537,756","114.00","114.00","110.50","111.00","X0.00","4,218",
"108/06/21","4,406,369","495,652,697","112.00","113.00","111.50","113.00","+2.00","2,241",
"108/06/24","2,925,158","328,980,512","112.50","113.50","111.50","113.00"," 0.00","1,682",
"108/06/25","3,535,362","395,480,044","113.00","113.00","111.00","111.50","-1.50","2,242",
"108/06/26","1,749,984","195,485,208","111.50","112.50","111.00","111.00","-0.50","1,009",
"108/06/27","3,805,609","425,517,009","111.50","112.50","111.00","111.50","+0.50","1,561",
"108/06/28","3,297,596","364,777,950","111.50","111.50","110.00","110.50","-1.00","1,444",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

