"111年09月 6770 力積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/09/01","36,653,208","1,229,460,971","33.80","33.90","33.30","33.65","-0.80","15,304",
"111/09/02","22,233,283","748,789,050","33.65","34.05","33.50","33.55","-0.10","8,708",
"111/09/05","76,310,527","2,387,860,273","33.50","33.70","30.50","30.55","-3.00","37,586",
"111/09/06","34,927,583","1,081,197,639","30.90","31.55","30.60","30.80","+0.25","15,232",
"111/09/07","28,173,453","851,200,439","30.60","30.75","29.75","30.10","-0.70","13,897",
"111/09/08","19,749,221","604,650,674","30.65","30.90","30.20","30.70","+0.60","8,052",
"111/09/12","22,605,414","716,402,875","31.60","31.95","31.35","31.75","+1.05","9,966",
"111/09/13","29,789,830","961,891,153","32.25","32.70","31.80","32.00","+0.25","13,512",
"111/09/14","23,914,587","748,775,615","30.90","31.60","30.75","31.60","-0.40","9,907",
"111/09/15","32,404,972","1,055,161,094","32.20","32.90","31.95","32.75","+1.15","12,846",
"111/09/16","154,077,253","4,947,142,654","32.30","32.40","31.60","32.15","-0.60","16,660",
"111/09/19","28,816,302","916,757,851","32.10","32.40","31.45","31.75","-0.40","12,133",
"111/09/20","19,627,459","623,126,992","32.20","32.20","31.50","31.55","-0.20","7,967",
"111/09/21","20,642,692","646,038,595","31.60","31.65","31.20","31.30","-0.25","9,205",
"111/09/22","20,150,340","616,280,958","30.95","30.95","30.40","30.55","-0.75","8,704",
"111/09/23","18,512,339","573,307,572","30.60","31.25","30.55","31.00","+0.45","6,927",
"111/09/26","29,389,958","876,756,109","30.55","30.75","29.15","29.30","-1.70","15,785",
"111/09/27","15,225,266","445,418,154","29.60","29.90","29.35","29.65","+0.35","6,027",
"111/09/28","25,493,532","734,361,636","29.60","29.75","28.35","28.55","-1.10","11,361",
"111/09/29","64,149,811","1,775,379,841","29.10","29.25","26.00","27.80","-0.75","25,667",
"111/09/30","31,674,765","883,662,252","27.20","28.65","27.05","28.50","+0.70","10,842",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

