"102年04月 9910 豐泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"102/04/01","381,654","17,531,430","46.10","46.25","45.25","46.00","-0.20","247",
"102/04/02","371,703","17,034,774","45.80","46.00","45.25","45.75","-0.25","248",
"102/04/03","488,383","22,443,646","45.70","46.30","45.20","46.30","+0.55","293",
"102/04/08","698,443","31,957,182","46.20","46.80","43.60","46.45","+0.15","365",
"102/04/09","270,341","12,469,936","46.50","46.50","45.60","46.20","-0.25","205",
"102/04/10","409,445","18,435,192","45.70","46.20","44.00","45.00","-1.20","271",
"102/04/11","284,218","12,982,884","45.00","46.20","44.75","46.00","+1.00","195",
"102/04/12","369,523","17,008,673","46.15","46.15","45.50","46.05","+0.05","205",
"102/04/15","1,164,159","56,629,434","46.15","49.25","46.05","49.00","+2.95","620",
"102/04/16","763,147","37,285,008","48.85","49.50","47.80","49.00"," 0.00","555",
"102/04/17","579,161","28,316,341","49.00","49.20","48.30","49.00"," 0.00","343",
"102/04/18","838,431","41,724,758","49.00","50.30","49.00","49.95","+0.95","566",
"102/04/19","628,530","31,394,983","50.00","50.10","49.75","49.90","-0.05","358",
"102/04/22","1,068,254","55,720,408","50.30","52.90","50.30","52.30","+2.40","662",
"102/04/23","1,054,124","54,709,629","52.30","52.80","51.10","51.50","-0.80","662",
"102/04/24","1,774,920","88,120,375","51.50","52.40","48.15","48.65","-2.85","1,091",
"102/04/25","1,281,111","62,530,135","48.20","49.40","47.60","49.30","+0.65","834",
"102/04/26","1,314,974","64,247,635","49.30","49.50","48.40","48.90","-0.40","641",
"102/04/29","646,212","31,678,393","48.90","49.40","48.70","49.00","+0.10","326",
"102/04/30","542,314","26,431,674","49.20","49.45","48.45","48.65","-0.35","359",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

