"10202る 9921 エ             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"102/02/01","707,615","110,779,744","158.00","159.00","154.50","156.00","-1.00","570",
"102/02/04","581,262","91,104,634","157.00","158.00","156.00","157.00","+1.00","509",
"102/02/05","674,152","107,334,820","157.00","161.00","156.00","161.00","+4.00","500",
"102/02/06","688,097","112,269,617","162.50","164.00","161.50","162.00","+1.00","507",
"102/02/18","956,443","159,083,757","164.50","168.00","162.00","167.50","+5.50","776",
"102/02/19","694,221","116,465,628","167.50","169.00","166.50","168.00","+0.50","622",
"102/02/20","573,235","97,257,715","170.00","170.00","168.50","170.00","+2.00","492",
"102/02/21","446,807","75,432,076","170.00","170.00","166.50","169.50","-0.50","307",
"102/02/22","214,227","35,767,455","169.00","169.00","165.50","166.00","-3.50","173",
"102/02/23","35,560","5,922,737","166.00","167.50","166.00","167.50","+1.50","39",
"102/02/25","197,907","32,932,748","168.00","168.00","165.00","165.00","-2.50","163",
"102/02/26","474,880","77,315,060","164.00","164.50","162.00","162.00","-3.00","400",
"102/02/27","376,176","61,541,920","164.00","165.00","162.50","162.50","+0.50","268",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

