"107年08月 9921 巨大             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/08/01","303,819","39,649,108","131.00","131.00","129.50","131.00"," 0.00","222",
"107/08/02","140,168","18,219,340","131.00","131.00","129.50","130.00","-1.00","111",
"107/08/03","211,440","27,497,359","129.50","131.00","129.50","130.50","+0.50","170",
"107/08/06","292,348","38,174,413","130.50","132.50","129.50","129.50","-1.00","225",
"107/08/07","423,285","55,159,903","128.50","131.50","128.50","130.00","+0.50","327",
"107/08/08","1,283,445","167,036,240","130.00","132.00","130.00","131.00","+1.00","198",
"107/08/09","94,254","12,234,520","131.00","131.00","129.50","129.50","-1.50","92",
"107/08/10","112,742","14,643,587","129.50","130.50","129.50","130.00","+0.50","113",
"107/08/13","2,462,277","330,772,145","135.00","136.50","129.50","131.00","+1.00","1,277",
"107/08/14","704,125","91,508,000","132.00","132.50","128.50","130.00","-1.00","492",
"107/08/15","520,242","68,058,944","131.50","133.00","129.50","131.00","+1.00","425",
"107/08/16","603,817","79,107,344","129.50","132.50","129.50","131.50","+0.50","377",
"107/08/17","437,141","56,604,830","129.00","130.00","129.00","130.00","X0.00","285",
"107/08/20","338,767","43,918,443","128.50","130.00","128.50","129.50","-0.50","273",
"107/08/21","892,039","117,511,165","130.50","133.00","129.00","131.50","+2.00","567",
"107/08/22","585,869","77,791,077","132.50","133.00","131.50","133.00","+1.50","301",
"107/08/23","580,629","77,173,915","133.00","133.00","132.00","133.00"," 0.00","372",
"107/08/24","471,822","62,563,504","132.00","133.00","131.00","132.50","-0.50","332",
"107/08/27","629,146","83,648,491","133.00","133.00","132.50","133.00","+0.50","290",
"107/08/28","852,949","113,512,191","133.00","135.00","132.00","133.00"," 0.00","470",
"107/08/29","569,419","75,716,515","133.00","133.00","132.50","133.00"," 0.00","374",
"107/08/30","564,403","74,965,099","133.00","133.00","132.00","133.00"," 0.00","408",
"107/08/31","702,866","93,320,812","133.00","133.00","132.00","132.50","-0.50","465",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

