"111年09月 9938 百和             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/09/01","294,198","18,309,827","62.20","62.90","61.60","62.50","-1.00","284",
"111/09/02","283,170","17,766,092","62.80","63.50","62.00","62.40","-0.10","227",
"111/09/05","239,941","14,841,714","62.10","62.10","61.60","61.80","-0.60","231",
"111/09/06","225,416","13,934,239","62.00","62.50","61.50","62.00","+0.20","198",
"111/09/07","389,266","24,005,569","62.00","62.20","60.70","62.20","+0.20","310",
"111/09/08","540,637","34,009,903","62.30","63.80","61.70","63.60","+1.40","414",
"111/09/12","698,843","45,227,844","65.10","65.10","63.80","64.90","+1.30","564",
"111/09/13","1,650,644","110,516,490","65.20","68.20","65.10","67.50","+2.60","1,232",
"111/09/14","1,956,645","132,872,186","67.00","68.80","65.70","68.00","+0.50","1,557",
"111/09/15","779,114","52,764,740","68.00","68.30","67.20","67.40","-0.60","682",
"111/09/16","951,298","63,717,258","67.60","68.00","66.00","67.00","-0.40","697",
"111/09/19","552,992","36,263,959","66.50","66.60","65.00","65.30","-1.70","1,005",
"111/09/20","247,028","16,193,886","65.60","65.90","65.10","65.90","+0.60","205",
"111/09/21","845,869","54,314,545","65.90","65.90","63.30","64.50","-1.40","719",
"111/09/22","977,196","61,247,555","64.20","64.20","62.00","62.40","-2.10","776",
"111/09/23","578,481","35,631,017","62.40","63.00","61.00","61.20","-1.20","582",
"111/09/26","578,538","34,797,630","60.80","60.80","59.60","60.10","-1.10","484",
"111/09/27","292,921","17,554,485","60.00","60.40","59.20","60.10"," 0.00","266",
"111/09/28","564,773","33,117,139","60.40","60.60","57.90","58.30","-1.80","472",
"111/09/29","554,018","32,720,892","58.60","59.90","58.50","59.50","+1.20","408",
"111/09/30","290,789","16,983,801","57.70","59.20","57.60","59.00","-0.50","250",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

